book_name,stars,date,context
The Complete Stories,5,"July 14, 2025","I forget if it's this one I read or some other collection. I mean what is there to say about kafka that hasn't already been said, it's quite kafkaesque. My favorite story is Blumfeld, an elderly bachelor which kafka wrote about in his diary as a ""a fish barely breathing on a sandbank"""
The Complete Stories,5,"February 2, 2022","To borrow words from Albert Camus, ""The whole of Kafka's art consists in compelling the reader to reread him."" Camus might be right [there is no other writer I think who has read Kafka to such extents] because there is a sense of incompleteness a reader essentially feels on reading Kafka. But it is not something that Kafka intentionally infuses into his works. It is only that the reader feels with growing desperation, that in the finiteness of Kafka's work there are many things beyond bounds, and in one read, one can only grasp enough. Sometimes, the reader feels Kafka himself is exposed quite unintentionally to this absurd abundance and is overwhelmed. After writing ""The Judgment'' sitting throughout the night Kafka notes in his diary: ""The fearful strain and joy, how the story developed before me as if I were advancing over water...How everything can be said, how for everything, for the strangest fancies, there waits a great fire in which they perish and rise up again.."" Maybe it is because of this, that many associates the expression Kafkaesque with a labyrinth, in which one has to take absolute care not to get lost and come out of with something, and upon doing so only to realize you know nothing of the maze, but only the path you so laboriously traversed, that too only in bits and pieces."
The Complete Stories,5,"January 11, 2018","I'm not a literary expert, but to me, Kafka is like Melville--at times a genius, and at other times just plain totally wacked-out. ""The Village Schoolmaster"" is is like something scribbled down on sheets of paper by a person confined to an insane asylum. On the other hand, ""In the Penal Colony"" and ""The Metamorphosis"" are two of the most brilliant stories of the 20th century. Most of his stories are closer to genius than crazy, or a mixture of each. I would recommend reading this book by flipping from story to story. There's never been a greater time in the history of the world to delve into the Kafkaesque."
The Complete Stories,4,"May 7, 2021","Kafkaesque. The first time I head the phrase was while watching Breaking Bad but the reference went right over my head. Eventually I heard of Kafka again, this time through classic literature lists, one thing led to another and I delved into Kafka's quintessentially Kafkaesque novel, The Trial. That still left arguably his most famous work, The Metamorphasis. I resisted. I loathe short stories and dread collections of short stories. I also couldn't help myself. Kafka's one of many with the title of 'master of the short story'."
The Complete Stories,5,"August 9, 2023","I reread this book again to give it a chance to see for sure if it was me or the book that was lacking. Certainty it was me. The stories in here are nothing but intersting kafkaesque, short witty and humorously fun to read that begs my mind wanting kafka to write full novels on these."
The Complete Stories,3,"November 7, 2017","400 pages of aimless nihilism, some of it morbidly fascinating, some of it overwrought academic garbage. Worth reading if only for the sake of understanding what the word ""Kafkaesque"" means."
The Complete Stories,4,"June 2, 2019","Reviewing a complete collection of any author is always something of a false-starter, as, unless your intention is to specifically review the editing, translation, and structuring of the text, the work is either a total survey or an attempt to summarise an entire career. I will attempt no such thing. Rather, reading through this collection (a slow but rewarding affair) allowed me an understanding and insight into Kafka, a man whose name has become several degrees more ubiquitous than anything he ever wrote (and I’d include ‘Metamorphosis’ in that assessment). The primary revelation is probably in the slight misdefinition of what ‘Kafkaesque’ means. Popularly it is understood to refer to stories or events that suggest a claustrophobic, bureaucratic oppression by arcane and contradictory systems that spiral in and around one’s person until you are left constricted, alienated, and alone. All of these things are, of course, common mainstays in Kafka’s short stories (and as I understand, his novels even more so). But what this definition misses is the comedy of Kafka, and the occasionally benign absurdism of his work. Anxiety and despair might appear often, but so too do strange jokes and talking animals and bouncing balls. Indeed, despite his one-note (popular) appreciation, Kafka’s stories reveal a remarkable variety, in both narrative voice, setting, and structure, even if he returns to many central themes. The fragmentary work and some of the unpublished stories are, perhaps naturally, of a somewhat lower quality (or more simply incomplete and indecipherable), but their inclusion is necessary according to the nature of the volume. But the best stories (my favourite being ‘The Great Wall of China’, a truly superlative work), these more than make up for any slack in reading; they earn the man his name."
The Complete Stories,4,"November 11, 2020","For me, most of the published longer stories felt more fully realized and complete, whereas most of the unpublished ones felt incomplete (and sometimes entire pages or fragments were missing). My favorites from the longer stories were ""The Metamorphosis,"" ""In the Penal Colony,"" ""A Hunger Artist,"" and ""A Report to an Academy."" These are all well-crafted stories that illustrate the meaning of the term 'Kafkaesque.' The shorter stories were more of a mixed bag - they range from 4-5 pages to a single paragraph in length - and many of them read like parables or fables."
The Complete Stories,4,"October 26, 2022","I have often heard the adjective Kafkaesque, never knowing exactly what it meant, but being aware it was not a compliment. After reading this collection of his short stories, I have a pretty good understanding of what the term means. Much like Shakespeare tragedies, a happy ending is not expected in any of these stories. Though, the stories are not happy-go-lucky, Kafka’s writing style is extraordinary, and it doesn’t take much searching to find one’s own experience in these stories. The Metamorphosis, is the most famous, but there others that are worthy of recognition: The Penal Colony, Country Doctor, A Hunger Artist, and The Bridge are a few that stood out to me. Many of his stories are written from the viewpoint of animals: dogs, apes, mice, and bugs. One story is written from the viewpoint of a bridge."
The Complete Stories,5,"November 19, 2024","The whole collection of Kafka's shorter works, including the Metamorphosis, arguably his most famous work. It is absolutely amazing. Kafka brings out his talents in many of the stories herein with themes of alienation, arbitrariness and meaninglessness in social structures, unsatisfied desires in making genuine connections, and the indifference of people towards others when those others cannot advance them. Of course, some people dislike the bleakness of the Kafkaesque but it does reflect some of the social problems of society. There are some stories collected in this book which are clearly better than others, but getting and reading the collection as a whole is a worthwhile endeavor."
The Complete Stories,4,"October 26, 2023","Overall, I liked these much more than I had expected. There's more than a touch of magical realism, surrealism, or the absurd. And Kafka is much funnier than I had supposed (or than I remember from reading The Trial a long time ago). I'm tempted to pick up The Castle, but in no rush. I also have for a long time thought I knew what people meant by ""Kafkaesque,"" and I still do have a sense of what they mean by it, but it doesn't seem to have a whole lot to do with what's in these stories."
The Complete Stories,5,"May 17, 2023","So, here we have the complete stories, generally considered the peak of Kafka’s legacy, where we get “Kafkaesque.” There are the great stories, generally complete’ish, the fragments, some of which don’t quite work, the very, VERY long ones, which sometimes overstay their welcome (to this reader), and the unexpected (to me) host of VERY short “flash fiction” of which, I’m sure, Kafka was a pioneer. Here we find his unique blend of humor, everyday tragedy, poignancy, people striving to get by, understand their place in a hostile, rigid, inexplicable world, with that creepy, largely unacknowledged hostility coming from SOMEWHERE. Reader’s note: I would recommend following John Updike’s advice in the Introduction and skipping the two long stories that begin the collection: “Descriptions of a Struggle” and “Wedding Preparations in the Country” which, to this reader, are largely incomprehensible and fragmentary and could put a lot of readers off from the treasures to follow."
The Complete Stories,3,"October 23, 2021","Reading this collection I naturally had to look up the word “Kafkaesque,” a term I’d heard many times. It’s roughly defined as the description of a confusing and frightening or nightmarscape."
The Complete Stories,4,"September 4, 2023","Other than his three long novels and his diary/correspondence, this is the rest of everything Kafka wrote that has remained past his death. There are some pretty good short stories in here and the Kafkaesque atmosphere is generally present throughout. He's such an enigmatic author that I remain completely intrigued by him and will probably read everything else out there that I haven't yet. He's not my favorite author or anything, but there's something I can't explain that draws me to read his stuff and know him better through what he wrote. If I ever write, I hope to incorporate a bit of his style into my own and leave readers pondering a deeper meaning. Recommend to any."
The Complete Stories,5,"January 30, 2024",Gimme more Kafkaesque stories:
The Complete Stories,3,"July 27, 2018","This collection didn’t need to be quite so complete, if you know what I mean. When his stories are good they are really really good, and when they are bad...well usually that means they are unfinished or unrevised, but man are they hard to get through. I made myself read it cover to cover but there were a couple stories in the middle I wanted to skip. However, I really enjoyed the collection of ‘shorter stories’ in the back. They are all very compact and have that surreal, unsettling quality which makes you realize where the term “Kafkaesque” actually came from."
The Complete Stories,3,"July 15, 2020","Bu anlamda öykünün yüklendiği iddia edilen sembolizmle, karşılığında kopan fırtınanın yine Kafkaesque bir tezat oluşturduğunu düşünmeden edemiyorum."
The Complete Stories,4,"October 16, 2020",You have to read this one if you ever plan to use the phrases kafkaesque.
The Complete Stories,4,"July 12, 2011","Speaking of acknowledging things, allow me to tell you a few things that I've heard over the years when Kafka's been mentioned. They are things like ""grossly depressing,"" ""heavy,"" ""intellectually stimulating,"" and ""Kafkaesque,"" the last of which seems to be the most duh-worthy of statements. Reading Kafka ""for fun"" has been interpreted to me as the kind of thing that either Extreme Brains or Insufferable Faux-Artsy-Fartsy Sorts do and although I am hardly the sort to say that I'm able to confirm such things, neither am I capable of saying that I tried to deny them as I approached the book. Kafka's Complete Stories felt scary to me; that's why it took me a month and some-odd days to be able to muster up the courage to attack the gross bulk of the collection head-on. It didn't help that the editors positioned ""Description of a Struggle,"" which is quite possibly one of Kafka's most daunting short stories, as the first full-length ""long story"" in the collection. A few days of attempting to negotiate ""Description""'s preponderance for dicking around with stream-of-consciousness, unreliable narrators, and fantasy-horror motifs blending into a puddle of what-the-fuckery and I told myself that it would be okay to take The Complete Stories as a story-by-story basis and relegated it to ""Book for the Whole Summer"" status."
The Complete Stories,5,"July 13, 2024","His best is incredible. “Metamorphosis” is an undeniable triumph. “A Hunger Artist” and “In the Penal Colony” are also magnificent. Based on previous limited understanding, I thought “Kafkaesque” described an absurd and cruel situation. This is true, but I wasn’t expecting the sympathy in each story. The most surprising part of “Penal Colony” is how human the executioner seems by the end of the story. Because of my own taste, I enjoyed the more coherent stories than the dream-visions of “A Country Doctor” or “A Description of a Struggle” (yikes)."
The Complete Stories,5,"March 9, 2024","I found Kafka’s work to be sometimes enigmatic and cryptic, while other times the meaning would hit me like a freight train. At the beginning of each story, I’d be on the edge of my seat, wondering if this would be one that left me puzzled or feeling seen in a newfound way. His stories are unique and human and fearless, and arguably a genre in and of itself. I mean, they literally coined the term “Kafkaesque” after the guy. Delving into this world-renowned writer’s work has been quite the experience that I’m sure I’ll find myself coming back to again and again. I think it’s also worth noting that many of the stories in this collection were not published during Kafka’s lifetime and were, therefore, unfinished. It took me a while to adapt to the fact that not every story was going to be as polished as some of the others, or even completed for that matter, and so I encourage anyone else who picks up this collection to keep that in mind."
The Complete Stories,4,"December 8, 2012","Until you read Kafka, many of us think we know Kafka based perhaps on anecdotal items we pick up in the media or from others. The mere fact there's the term ""Kafkaesque"" perhaps causes us to think we know what it means. But it is only when one reads Kafka do you begin to gain some insight into one of the most mysterious and yet hallowed writers of the 20th century."
The Complete Stories,2,"May 2, 2021","One reoccurring theme I noticed from Kafka's stories is the use of anthropomorphism in several of his stories. Outside of The Metamorphosis, Kafka has several of his stories from the perspective of animals providing 1st person narration. Therefore the world described becomes Kafkaesque, as it is both deceptively human while remaining alien. Lastly, I found A Report to an Academy and interesting story as an inversion of The Metamorphosis. In A Report Kafka details the story of an ape gaining human consciousness and shedding his apelike qualities to basically become a man, kind of the opposite of Gregor becoming the beetle."
The Complete Stories,5,"January 25, 2020",Kafka is used in a lot of cruel experiments by Lit. teachers to see how Kafka’s style can infect young writers. I don’t think there’s any goal in mind - other than to possibly create more of the Kafkaesque.
The Complete Stories,3,"May 28, 2014","I read ""The Metamorphosis"", ""A Country Doctor"", ""A Hunger Artist"", and parts of ""In the Penal Colony."" I didn't really enjoy Kafka's writing. It's extremely long-winded and features long run-on sentences that go on for paragraph-like lengths. I think it's partially my fault that I didn't particularly like his short stories because I was expecting something allegorical, when his works are probably not meant to be taken in an allegorical sense. Oops! Although his works were seminal at the time of publication, I feel like they aren't that unique now. I've read manga that feel more Kafkaesque than Kafka's works. Maybe I'll understand when I grow up..."
The Complete Stories,5,"December 16, 2020","This is by far my favorite collection of Kafka's short fiction in English. K is obviously an original, central Modern writer. It was especially good to read/re-read the very short pieces (which count as ""flash fiction"" these days). Several of them prefigure Borges. Updike's intro is very good, too.On another topic, Goodread's auto-correct is Kafkaesque."
The Complete Stories,3,"November 5, 2016",I understood the implications of 'kafkaesque' before reading but now no longer do.
The Complete Stories,5,"June 7, 2007","the metamorphosis is like so kafkaesque....seriously though, i have never read anything like kafka..."
The Complete Stories,4,"August 27, 2012","Extremely ""Kafkaesque"" !"
Brave New World,4,"April 24, 2021","The book is about a man who thought primitive than their so-called advanced society. In the end, it turned out only John is more human than any other person in the kafkaesque society. I think it is a similar situation to the cannibal holocaust where city folks go to see thr cannibalistic tribe in the wild. To see who is more civilized and came to a kinda grim outcome."
Brave New World,5,"August 10, 2024","This book subverted my expectation, believing that the titular brave new world would be a kafkaesque look into a world so oddly different from our own with an underlying commentary of how strange our relationship with work is, instead it was an insight to the balance of pleasure and pain and how short term dopamine rushes leas to an unfulfilling lifestyle. Despite being a classic written nearly a century ago, its lessons are evidently ever more clearly as we abandon skillful pursuits that require patience for a quick fix. It also speaks to what a eugenic society would look like, with people bred and conditioned to be fit into a caste without any ambition to change their place in society. A very good read that only grows in relevance"
Brave New World,1,"November 22, 2013","Well, I think I was correct, but where 1984 came off as kafkaesque and"
Brave New World,4,"April 16, 2017","Huxley is a superb author. He instantly teleports you into this bizarre, almost kafkaesque dystopian world and the book moves at a really fast pace. I really liked Brave New World. There's so much symbolism and thematic depth in the book."
Dead Souls,5,"April 6, 2014","Here are some observations: I was expecting something a lot more psychological and angsty, judging not least from that ominous title but also from having read the almost Kafkaesque The Overcoat. Instead, I get what on the surface seems like your standard Dickensian social satire, specifically launching in at Capitalism 25 years before the spectre of Marx's Capital. I'm immediately reminded here of Our Mutual Friend - the dust heap as pointed metaphor for fleeting lucre (q.v. also JR's penny stocks, further down the line). Chichikov (the name itself is worth a laugh) is some kind of Tzarist 419 scammer, trying to buy up dead serfs, playing a long con which I'll omit so as not to spoil too much. It's surprisingly funny, though - particularly in the second part - the characters start to repeat themselves some."
Dead Souls,4,"January 3, 2022","A bizarre comedy. Chichikov is one of the strangest fellows I’ve come across in literature. A strange and meandering (unfortunately incomplete) heroic epic of Chichikov’s attempts to get rich. It’s a bit Kafkaesque, which isn’t a fair comparison considering he predates Kafka by a wide margin."
