book_name,author,avg_rating,total_reviews,kafkaesque_review_count,release_date,genres,english_review_count
Portnoy s Complaint,Philip Roth,3.71,4500,1,"January 1, 1969",Fiction | Classics | Literature | Novels | American | Humor | Jewish,1
Infinite Jest,David Foster Wallace,4.25,12382,3,"February 1, 1996",Fiction | Classics | Literature | Novels | Contemporary | Humor | Literary Fiction,3
sleep has no master,Jon Konrath,4.3,13,1,"June 24, 2012",Fiction | Humor | Short Stories | Bizarro Fiction,1
lolita,Vladimir Nabokov,3.87,47467,4,"September 1, 1955",Classics | Fiction | Literature | Russia | Novels | Romance | Russian Literature,4
down the drain,Julia Fox,4.37,15614,1,"October 10, 2023",Memoir | Audiobook | Nonfiction | Biography | Book Club | Autobiography | Biography Memoir,1
boundless,Jillian Tamaki,3.66,405,2,"May 30, 2017",Graphic Novels | Comics | Short Stories | Fiction | Graphic Novels Comics | Adult | Canada,2
Notes from Underground,Fyodor Dostoevsky | Richard Pevear | Larissa Volokhonsky,4.17,18761,3,"January 1, 1864",Classics | Fiction | Philosophy | Russia | Russian Literature | Literature | Novels,3
Pornografia,Witold Gombrowicz | Alastair Hamilton,3.93,355,1,"January 1, 1960",Fiction | Polish Literature | Poland | Classics | Literature | Novels | 20th Century,1
The Library of Babel,Jorge Luis Borges | Erik Desmazieres | Andrew Hurley,4.31,980,1,"January 1, 1941",Short Stories | Fiction | Classics | Philosophy | Fantasy | Magical Realism | Books About Books,1
Life As We Knew It,Susan Beth Pfeffer,3.89,11044,1,"October 1, 2006",Young Adult | Dystopia | Science Fiction | Fiction | Post Apocalyptic | Survival | Apocalyptic,1
mcglue,Ottessa Moshfegh,3.31,2722,1,"September 22, 2014",Fiction | Historical Fiction | Novella | Historical | Literary Fiction | Contemporary | Queer,1
Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel | J.N. Findlay | A.V. Miller,3.96,725,1,"January 1, 1807",Philosophy | Nonfiction | Classics | Theory | German Literature | History | Metaphysics,1
Les Mis rables,Victor Hugo | Norman MacAfee | Charles E. Wilbour,4.21,24744,1,"March 31, 1862",Classics | Fiction | Historical Fiction | Literature | France | Historical | Novels,1
the meowmorphosis,Coleridge Cook | Franz Kafka,2.94,214,4,"January 1, 2011",Fiction | Fantasy | Humor | Cats | Classics | Retellings | Horror,4
Hunger,Knut Hamsun,4.04,5127,6,"January 1, 1890",Fiction | Classics | Literature | Novels | Scandinavian Literature | 19th Century | Nobel Prize,6
War and Peace,Leo Tolstoy | Aylmer Maude | Louise Maude,4.17,19646,1,"January 1, 1869",Classics | Fiction | Historical Fiction | Russia | Russian Literature | Literature | War,1
The Street of Crocodiles,Bruno Schulz | Celina Wieniewska | Jerzy Ficowski,3.99,1509,22,"January 1, 1933",Fiction | Short Stories | Classics | Polish Literature | Poland | Magical Realism | Literature,21
the great gatsby,F. Scott Fitzgerald | Jesmyn Ward,3.93,122670,1,"April 10, 1925",Classics | Fiction | School | Historical Fiction | Romance | Literature | Novels,1
The Metamorphosis,Franz Kafka | Stanley Corngold,3.9,61829,733,"October 1, 1915",Classics | Fiction | Fantasy | Philosophy | Short Stories | Literature | School,599
Existentialism is a Humanism,Jean-Paul Sartre | Arlette Elkaïm-Sartre | Annie Cohen-Solal,3.98,2553,1,"January 1, 1946",Philosophy | Nonfiction | Classics | France | Essays | French Literature | Theory,1
the ocean at the end of the lane,Neil Gaiman,4.02,62109,2,"June 18, 2013",Fantasy | Fiction | Magical Realism | Horror | Audiobook | Book Club | Young Adult,2
parallel stories,Péter Nádas | Imre Goldstein,3.8,89,1,"January 1, 2005",Fiction | Historical Fiction | Hungary | Hungarian Literature | Literary Fiction | Literature | Novels,1
Diaries 1910 1923,Franz Kafka,4.23,343,6,"January 1, 1949",Nonfiction | Classics | Biography | Memoir | Literature | Diary | German Literature,5
The Unbearable Lightness of Being,Milan Kundera | Michael Henry Heim,4.11,30881,6,"January 1, 1984",Fiction | Classics | Philosophy | Literature | Novels | Romance | Czech Literature,6
Sense and Sensibility,Jane Austen | Ros Ballaster | Джейн Остин,4.09,32506,1,"October 30, 1811",Classics | Fiction | Romance | Historical Fiction | Literature | Historical | Audiobook,1
Paths of Glory,Humphrey Cobb,4.19,88,1,"January 1, 1935",Fiction | War | Historical Fiction | World War I | Classics | 20th Century | Military Fiction,1
conversations with friends,Sally Rooney,3.74,58314,2,"May 25, 2017",Fiction | Contemporary | Romance | Literary Fiction | Audiobook | LGBT | Book Club,2
Revolutionary Road,Richard Yates,3.93,7994,1,"December 31, 1961",Fiction | Classics | Historical Fiction | Book Club | Novels | Literary Fiction | American,1
y n,Esther Yi,2.92,2685,16,"March 21, 2023",Fiction | Contemporary | Literary Fiction | Audiobook | Thriller | Adult | Novels,16
In the Penal Colony,Franz Kafka,3.93,2213,60,"October 1, 1918",Classics | Fiction | Short Stories | Literature | Philosophy | German Literature | Horror,52
The Man in the High Castle,Philip K. Dick,3.59,16266,3,"October 1, 1962",Science Fiction | Fiction | Classics | Dystopia | Alternate History | Historical Fiction | Fantasy,3
Sputnik Sweetheart,Haruki Murakami | Philip Gabriel,3.83,13073,5,"April 20, 1999",Fiction | Japan | Japanese Literature | Magical Realism | Contemporary | Romance | Novels,5
Civilization and Its Discontents,Sigmund Freud | Peter Gay | James Strachey,3.79,2066,1,"January 1, 1930",Psychology | Philosophy | Nonfiction | Classics | Psychoanalysis | Sociology | Theory,1
Petersburg,Andrei Bely | Robert A. Maguire | John E. Malmstad,3.97,388,1,"January 1, 1913",Fiction | Russia | Russian Literature | Classics | Literature | Novels | 20th Century,1
Sophie s World,Jostein Gaarder | Paulette Møller,3.97,16459,1,"January 1, 1991",Fiction | Classics | Young Adult | Fantasy | Novels | Literature | Contemporary,1
the yellow birds,Kevin Powers,3.74,3543,1,"September 6, 2012",Fiction | War | Historical Fiction | Book Club | Literary Fiction | Military Fiction | Contemporary,1
Great Expectations,Charles Dickens | Kate Flint | Margaret Cardwell,3.8,24635,2,"January 1, 1861",Classics | Fiction | Literature | Historical Fiction | School | Novels | Classic Literature,1
blindness,José Saramago | Giovanni Pontiero,4.18,27434,13,"January 1, 1995",Fiction | Dystopia | Classics | Science Fiction | Novels | Portugal | Book Club,13
After Dark,Haruki Murakami | Jay Rubin,3.74,14961,3,"January 1, 2004",Fiction | Japan | Magical Realism | Japanese Literature | Contemporary | Fantasy | Novels,3
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,4.04,3042,1,"May 1, 1967",Plays | Classics | Fiction | Drama | Theatre | Humor | School,1
Dubliners,James Joyce | Terence Brown | Jeri Johnson,3.84,10555,1,"June 15, 1914",Classics | Fiction | Short Stories | Ireland | Literature | Irish Literature | 20th Century,1
The Sons,Franz Kafka,3.99,122,5,"Published August 5, 1989",Fiction | Classics | Short Stories | Literature | Philosophy | German Literature | Literary Fiction,5
tender is the flesh,Agustina Bazterrica | Sarah Moses,3.78,67498,3,"November 29, 2017",Horror | Fiction | Dystopia | Science Fiction | Thriller | Audiobook | Adult,3
Saffron and Brimstone,Elizabeth Hand,3.9,112,2,"December 12, 2006",Short Stories | Fantasy | Fiction | Horror | Magical Realism | Urban Fantasy | Anthologies,2
Swann s Way,Marcel Proust | Lydia Davis,4.16,6257,2,"November 14, 1913",Fiction | France | Literature | French Literature | Novels | Philosophy | 20th Century,2
Never Let Me Go,Kazuo Ishiguro,3.85,67134,8,"April 5, 2005",Fiction | Science Fiction | Dystopia | Book Club | Contemporary | Literary Fiction | Romance,8
a little life,Hanya Yanagihara,4.29,139402,1,"March 10, 2015",Fiction | Contemporary | Literary Fiction | LGBT | Queer | Book Club | Mental Health,1
dark matter,Blake Crouch,4.14,78579,2,"July 26, 2016",Science Fiction | Fiction | Thriller | Mystery | Book Club | Audiobook | Mystery Thriller,2
my first kafka,Matthue Roth | Rohan Daniel Eason,3.86,20,1,"June 15, 2013",Picture Books | Childrens | Philosophy | Fantasy | Art,1
Steppenwolf,Hermann Hesse | Basil Creighton,4.13,10000,4,"January 1, 1927",Fiction | Classics | Philosophy | German Literature | Literature | Novels | Germany,4
life after life,Kate Atkinson,3.78,27536,3,"March 14, 2013",Fiction | Historical Fiction | Book Club | Fantasy | Historical | Time Travel | Audiobook,3
Heart of a Dog,Mikhail Bulgakov | Mirra Ginsburg | Михаил Афанасьевич Булгаков,4.09,4562,7,"January 1, 1925",Fiction | Classics | Russia | Russian Literature | Science Fiction | Literature | Fantasy,6
The Book of Evidence,John Banville,3.7,605,1,"January 1, 1989",Fiction | Ireland | Mystery | Irish Literature | Crime | Literature | Literary Fiction,1
The Jungle,Upton Sinclair | Earl Lee | Kathleen De Grave,3.78,7883,1,"January 1, 1906",Classics | Fiction | Historical Fiction | Literature | Politics | School | Banned Books,1
A Confederacy of Dunces,John Kennedy Toole | Walker Percy,3.89,20457,1,"May 1, 1980",Fiction | Classics | Humor | Book Club | Literature | Comedy | Novels,1
harry potter and the order of the phoenix,J.K. Rowling | Mary GrandPré,4.5,73867,1,"June 21, 2003",Fantasy | Young Adult | Fiction | Magic | Audiobook | Childrens | Adventure,1
Underground,Haruki Murakami | Alfred Birnbaum | Philip Gabriel,3.91,1853,1,"March 20, 1997",Nonfiction | Japan | History | Japanese Literature | True Crime | Asia | Crime,1
The Wind Up Bird Chronicle,Haruki Murakami | Jay Rubin,4.14,22263,25,"April 12, 1994",Fiction | Magical Realism | Fantasy | Japanese Literature | Novels | Literature | Literary Fiction,25
Wittgenstein s Nephew,Thomas Bernhard | David McLintock,4.03,747,1,"January 1, 1982",Fiction | German Literature | Novels | Philosophy | Literature | 20th Century | Classics,1
the fellowship of the ring,J.R.R. Tolkien,4.4,49236,1,"July 29, 1954",Fantasy | Classics | Fiction | Adventure | Audiobook | High Fantasy | Epic Fantasy,1
one flew over the cuckoo s nest,Ken Kesey | Robert Faggen,4.2,18338,1,"February 1, 1962",Classics | Fiction | Psychology | Literature | Novels | Mental Health | School,1
the 100 year old man who climbed out the window and disappeared,Jonas Jonasson,3.82,30161,1,"September 9, 2009",Fiction | Humor | Book Club | Contemporary | Historical Fiction | Audiobook | Adventure,1
do androids dream of electric sheep,Philip K. Dick,4.09,23247,14,"January 1, 1968",Science Fiction | Fiction | Classics | Dystopia | Cyberpunk | Science Fiction Fantasy | Fantasy,14
The Tenant,Roland Topor | Francis K. Price | Thomas Ligotti,4.05,726,13,"January 1, 1964",Horror | Fiction | France | Classics | Novels | French Literature | Weird Fiction,12
Atlas Shrugged,Ayn Rand | Leonard Peikoff,3.69,21143,1,"October 10, 1957",Fiction | Classics | Philosophy | Politics | Literature | Science Fiction | Novels,1
The Book of Disquiet,Fernando Pessoa | Bernardo Soares | Richard Zenith,4.4,3945,1,"January 1, 1982",Fiction | Classics | Poetry | Philosophy | Portugal | Literature | Portuguese Literature,1
good morning midnight,Jean Rhys | Leslie Jamison,3.86,1338,2,"January 1, 1939",Classics | Fiction | France | Literary Fiction | 20th Century | Novels | Womens,2
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,3.78,11528,1,"April 1, 1974",Philosophy | Fiction | Classics | Spirituality | Travel | Psychology | Self Help,1
The Magic Mountain,Thomas Mann | John E. Woods,4.13,4548,3,"November 1, 1924",Fiction | Classics | German Literature | Literature | Philosophy | Novels | Germany,3
Picnic at Hanging Rock,Joan Lindsay,3.66,3475,1,"January 1, 1967",Classics | Fiction | Mystery | Historical Fiction | Australia | Horror | Gothic,1
Coraline,Neil Gaiman | Dave McKean,4.13,42374,2,"July 2, 2002",Fantasy | Horror | Fiction | Young Adult | Middle Grade | Childrens | Audiobook,1
The Crucible,Arthur Miller | Christopher W.E. Bigsby,3.61,14296,1,"January 22, 1953",Classics | Plays | Fiction | Historical Fiction | School | Drama | Read For School,1
kafka,Nishioka Kyoudai | Satoshi Nishioka | David Yang,3.79,111,7,"April 20, 2010",Manga | Graphic Novels | Comics | Fiction | Japan | Short Stories | Japanese Literature,7
The Sunset Limited,Cormac McCarthy,3.99,1326,2,"October 24, 2006",Fiction | Plays | Drama | Philosophy | American | Religion | Literature,2
welcome to night vale,Joseph Fink | Jeffrey Cranor,3.82,6027,3,"October 20, 2015",Fantasy | Fiction | Horror | Science Fiction | Humor | Audiobook | Mystery,3
Pale Fire,Vladimir Nabokov,4.17,4680,1,"January 1, 1962",Fiction | Classics | Poetry | Literature | Russia | Novels | Russian Literature,1
Lanark,Alasdair Gray | Janice Galloway,4.1,749,11,"January 1, 1981",Fiction | Fantasy | Scotland | Classics | Science Fiction | Novels | Literature,10
black bolt vol 1,Saladin Ahmed | Christian Ward,3.91,262,1,"December 19, 2017",Comics | Graphic Novels | Marvel | Superheroes | Graphic Novels Comics | Fiction | Science Fiction,1
Naked Lunch,William S. Burroughs | James Grauerholz | Barry Miles,3.46,5596,5,"July 1, 1959",Fiction | Classics | Literature | Novels | American | Banned Books | Science Fiction,5
Junky,William S. Burroughs | Oliver Harris | Allen Ginsberg,3.85,2903,1,"April 15, 1953",Fiction | Classics | Literature | Novels | American | 20th Century | Contemporary,1
Letter to His Father,Franz Kafka | Ernst Kaiser | Gerda Meijerink,4.04,6462,18,"November 1, 1919",Classics | Nonfiction | Biography | Literature | German Literature | Memoir | Audiobook,14
Black Hole,Charles Burns,3.85,3084,1,"January 12, 2005",Graphic Novels | Comics | Horror | Fiction | Graphic Novels Comics | Science Fiction | Comic Book,1
Our Mutual Friend,Charles Dickens | Richard Gaughan,4.09,2067,1,"November 1, 1865",Classics | Fiction | Victorian | Literature | 19th Century | Historical Fiction | British Literature,1
Amerika,Franz Kafka | Willa Muir | Edwin Muir,3.74,1907,89,"January 1, 1927",Fiction | Classics | German Literature | Literature | Novels | Czech Literature | 20th Century,78
Auto da F ,Elias Canetti | C.V. Wedgwood,4.02,639,8,"January 1, 1935",Fiction | Classics | German Literature | Literature | Nobel Prize | Novels | Bulgaria,8
The Woman in the Dunes,Kōbō Abe | Machi Abe | E. Dale Saunders,3.89,3535,85,"June 8, 1962",Fiction | Japan | Japanese Literature | Classics | Magical Realism | Literature | Novels,81
harry potter and the half blood prince,J.K. Rowling | Mary GrandPré,4.58,66869,1,"July 16, 2005",Fantasy | Fiction | Young Adult | Magic | Audiobook | Childrens | Adventure,1
the judgement,Franz Kafka,3.6,772,9,"January 1, 1913",Classics | Short Stories | Fiction | German Literature | Audiobook | Philosophy | Literature,7
The Cat in the Hat,Dr. Seuss,4.19,7559,1,"March 12, 1957",Childrens | Picture Books | Classics | Fiction | Poetry | Fantasy | Humor,1
The Collected Tales of Nikolai Gogol,Nikolai Gogol | Richard Pevear | Larissa Volokhonsky,4.35,463,2,"January 1, 1835",Short Stories | Fiction | Classics | Russia | Russian Literature | Literature | 19th Century,2
alice s adventures in wonderland,Lewis Carroll | Chris Riddell,3.99,20511,2,"January 1, 1865",Classics | Fantasy | Fiction | Childrens | Audiobook | Adventure | Middle Grade,2
the call of cthulhu,H.P. Lovecraft,4.03,6879,1,"February 1, 1928",Horror | Classics | Fiction | Short Stories | Fantasy | Science Fiction | Lovecraftian,1
strange metamorphosis,Paul C.R. Monk,3.83,25,1,"March 15, 2013",Young Adult | Amazon | Childrens | Fantasy,1
Foucault s Pendulum,Umberto Eco | William Weaver,3.91,4395,1,"October 4, 1988",Fiction | Historical Fiction | Mystery | Literature | Classics | Italian Literature | Thriller,1
El t nel,Ernesto Sabato | Nino Pipia,4.02,7592,2,"January 1, 1948",Fiction | Classics | Spanish Literature | Literature | Novels | Latin American | Latin American Literature,2
Flowers for Algernon,Daniel Keyes,4.23,42584,2,"April 1, 1966",Fiction | Classics | Science Fiction | Young Adult | Psychology | Literature | School,2
Mort,Terry Pratchett,4.24,9752,1,"November 12, 1987",Fantasy | Fiction | Humor | Comedy | Audiobook | Science Fiction Fantasy | Magic,1
Reading Lolita in Tehran,Azar Nafisi,3.66,9354,1,"January 1, 2003",Nonfiction | Memoir | Book Club | Iran | Biography | Books About Books | Feminism,1
Green Eggs and Ham,Dr. Seuss,4.31,12196,2,"August 12, 1960",Childrens | Picture Books | Classics | Fiction | Poetry | Fantasy | Humor,2
fight club,Chuck Palahniuk,4.18,25397,4,"August 17, 1996",Fiction | Classics | Thriller | Contemporary | Novels | Mystery | Literature,4
beautiful ruins,Jess Walter,3.68,17296,1,"June 12, 2012",Fiction | Book Club | Historical Fiction | Italy | Romance | Audiobook | Contemporary,1
best european fiction 2013,Aleksandar Hemon | John Banville | Christina Hesselholdt,3.77,18,1,"November 6, 2012",Short Stories | Fiction | Literature | Anthologies | Unfinished | European Literature,1
Pedro P ramo,Juan Rulfo | Susan Sontag | Margaret Sayers Peden,4.06,9371,3,"March 19, 1955",Fiction | Classics | Magical Realism | Spanish Literature | Latin American | Literature | Novels,3
rebecca,Daphne du Maurier,4.25,47785,2,"August 1, 1938",Classics | Fiction | Mystery | Gothic | Romance | Book Club | Historical Fiction,2
The Invention of Morel,Adolfo Bioy Casares | Jorge Luis Borges | Ruth L.C. Simms,3.98,3522,3,"January 1, 1940",Fiction | Classics | Science Fiction | Spanish Literature | Literature | Latin American | Fantasy,3
Waiting for Godot,Samuel Beckett,3.84,10403,4,"January 1, 1951",Plays | Classics | Fiction | Drama | Theatre | Literature | Philosophy,3
Demian,Hermann Hesse | Thomas Mann,4.14,9639,1,"January 1, 1919",Fiction | Classics | Philosophy | German Literature | Literature | Novels | Germany,1
Fear and Trembling,Søren Kierkegaard | Alastair Hannay,4.0,2289,1,"October 16, 1843",Philosophy | Nonfiction | Religion | Classics | Theology | Christianity | Psychology,1
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke | Mary Dows Herter Norton,3.93,787,2,"January 1, 1910",Fiction | Classics | German Literature | Poetry | Literature | Novels | Philosophy,1
Kindred,Octavia E. Butler,4.31,28367,3,"June 1, 1979",Historical Fiction | Fiction | Science Fiction | Fantasy | Time Travel | Classics | Book Club,3
Letters to Friends Family and Editors,Franz Kafka | Richard Winston | Clara Winston,4.12,16,1,"January 1, 1975",Nonfiction | Classics | Biography | Literature | Memoir | German Literature | Philosophy,1
The Master and Margarita,Mikhail Bulgakov | Diana Lewis Burgin | Katherine Tiernan O'Connor,4.28,25670,11,"January 1, 1967",Fiction | Fantasy | Russia | Russian Literature | Magical Realism | Literature | Novels,10
The Plot Against America,Philip Roth,3.81,5906,1,"October 5, 2004",Fiction | Historical Fiction | Alternate History | Literature | Politics | Science Fiction | Novels,1
A Hunger Artist,Franz Kafka | Helen Vlcnovska | Kevin Blahut,4.1,1451,22,"January 1, 1924",Short Stories | Classics | Fiction | Literature | Philosophy | German Literature | Audiobook,18
Heart of Darkness,Joseph Conrad,3.43,23456,1,"January 1, 1899",Classics | Fiction | Literature | Historical Fiction | Africa | School | Novels,1
the factory,Hiroko Oyamada | David Boyd,3.31,1750,56,"November 1, 2010",Fiction | Japan | Japanese Literature | Magical Realism | Contemporary | Fantasy | Novella,55
Bleak House,Charles Dickens | Nicola Bradbury | Hablot Knight Browne,4.02,5948,6,"January 1, 1853",Classics | Fiction | Literature | 19th Century | Historical Fiction | Victorian | British Literature,6
absolution,Patrick Flanery,3.58,227,1,"January 1, 2012",Fiction | Africa | South Africa | Literary Fiction | Historical Fiction | Novels | Contemporary,1
Blood Meridian or the Evening Redness in the West,Cormac McCarthy,4.16,21796,2,"April 28, 1985",Fiction | Historical Fiction | Westerns | Classics | Horror | Literature | Novels,2
Crime and Punishment,Fyodor Dostoevsky | David McDuff | Joseph Frank,4.28,47106,1,"January 1, 1866",Classics | Fiction | Russia | Russian Literature | Literature | Philosophy | Novels,1
The Plague,Albert Camus | Stuart Gilbert,4.02,18359,5,"June 10, 1947",Fiction | Philosophy | France | Literature | Classics | French Literature | Novels,5
Description of a Struggle and Other Stories,Franz Kafka,3.6,37,1,"January 1, 1934",Fiction | Short Stories | German Literature | Literature | 20th Century | Czech Literature | Classics,1
Ficciones,Jorge Luis Borges | Anthony Kerrigan | Anthony Bonner,4.4,5167,3,"January 1, 1944",Fiction | Short Stories | Magical Realism | Fantasy | Literature | Spanish Literature | Philosophy,3
the grapes of wrath,John Steinbeck,4.02,27724,1,"April 14, 1939",Classics | Fiction | Historical Fiction | Literature | Novels | School | American,1
Momo,Michael Ende,4.34,6581,3,"January 1, 1973",Fantasy | Fiction | Classics | Childrens | German Literature | Young Adult | Middle Grade,3
Carrie,Stephen King,3.99,31231,1,"April 5, 1974",Horror | Fiction | Thriller | Classics | Fantasy | Paranormal | Supernatural,1
A Country Doctor,Franz Kafka | Zoulfiia Gazeava | Kevin Blahut,3.68,582,10,"January 1, 1918",Short Stories | Fiction | Classics | German Literature | Literature | Philosophy | Horror,6
The Beetle,Richard Marsh,3.5,536,1,"January 1, 1897",Horror | Classics | Gothic | Fiction | Mystery | 19th Century | Victorian,1
If on a Winter s Night a Traveler,Italo Calvino | William Weaver,4.02,10856,20,"June 2, 1979",Fiction | Classics | Italian Literature | Magical Realism | Literature | Italy | Novels,19
Slaughterhouse Five,Kurt Vonnegut Jr.,4.1,46488,4,"March 31, 1969",Classics | Fiction | Science Fiction | Historical Fiction | War | Literature | Novels,4
lapvona,Ottessa Moshfegh,3.54,19734,2,"June 21, 2022",Horror | Fiction | Historical Fiction | Fantasy | Literary Fiction | Magical Realism | Historical,2
rouge,Mona Awad,3.54,10460,2,"September 12, 2023",Horror | Fiction | Fantasy | Gothic | Contemporary | Literary Fiction | Thriller,2
How to Defend Yourself Against Scorpions ,Fernando Sorrentino | عبد الله محمد الطيب | سعد البازعي,3.58,36,1,"December 4, 2013",Fiction | Short Stories,1
piranesi,Susanna Clarke,4.22,63939,8,"September 15, 2020",Fantasy | Fiction | Mystery | Magical Realism | Book Club | Mythology | Dark Academia,8
Alice s Adventures in Wonderland Through the Looking Glass,Lewis Carroll | Martin Gardner | John Tenniel,4.06,17316,1,"December 27, 1871",Classics | Fantasy | Fiction | Childrens | Young Adult | Literature | Adventure,1
The Bonfire of the Vanities,Tom Wolfe,3.92,3959,3,"November 1, 1987",Fiction | Classics | Literature | Novels | New York | Contemporary | Literary Fiction,3
The End of the Affair,Graham Greene | Monica Ali,3.9,6449,1,"January 1, 1951",Not Found,1
